
"ID_Event,Date,Heure,Type,Composant,Severite,Description,Action_Prise,Statut,Duree_Resolution_Min,Technicien"
"SYS00001,2025-01-05,08:23:15,Log_Systeme,Serveur_Application,Info,Demarrage normal du systeme,Surveillance routine,Termine,0,Automatique"
"NET00001,2025-01-05,09:12:45,Log_Reseau,Switch_Principal,Info,Trafic normal - 42% capacite,Aucune,Termine,0,Automatique"
"SYS00002,2025-01-05,14:32:18,Log_Systeme,Base_Donnees,Warning,Utilisation memoire elevee (87%),Surveillance accrue,Termine,0,Automatique"
"INC00001,2025-01-06,09:35:12,Incident,Interface_Utilisateur,Moyen,Module commandes inaccessible pour 15 utilisateurs,Redemarrage service et verification cache,Resolu,45,Martin_Dupont"
"NET00002,2025-01-06,15:22:08,Log_Reseau,Firewall,Alert,Tentatives multiples d'acces bloquees IP 192.168.14.55,Blocage IP pour 24h,Termine,0,Automatique"
"INC00002,2025-01-07,11:05:33,Incident,Base_Donnees,Critique,Base de donnees inaccessible - timeout connexions,Redemarrage service BDD et verification corruption,Resolu,120,Sophie_Martin"
"MAINT001,2025-01-10,22:00:00,Maintenance,Serveur_Application,Normal,Mise a jour planifiee v3.5.2,Installation et tests valides,Complete,180,Equipe_Maintenance"
"SYS00003,2025-01-11,06:00:12,Log_Systeme,Serveur_Application,Info,Demarrage apres maintenance,Verification fonctionnelle,Termine,0,Automatique"
"SYS00004,2025-01-15,13:45:27,Log_Systeme,Module_Paiement,Warning,Latence elevee traitement transactions,Surveillance accrue,Termine,0,Automatique"
"INC00003,2025-01-15,14:12:39,Incident,Module_Paiement,Eleve,Transactions echouees (timeout),Optimisation requetes SQL et augmentation timeout,Resolu,90,Thomas_Bernard"
"NET00003,2025-01-20,10:35:11,Log_Reseau,Routeur_Principal,Error,Perte connexion breve (15s),Reconnexion automatique,Termine,0,Automatique"
"INC00004,2025-01-20,10:37:22,Incident,Connexion_Internet,Moyen,Perturbation breve services externes,Contact fournisseur - incident externe confirme,Resolu,20,Marie_Leroy"
"SYS00005,2025-01-25,08:15:44,Log_Systeme,Stockage,Alert,85% espace disque utilise,Alerte envoyee equipe maintenance,Termine,0,Automatique"
"MAINT002,2025-01-25,23:00:00,Maintenance,Serveur_Stockage,Normal,Ajout capacite stockage 2TB,Installation reussie - tests OK,Complete,120,Equipe_Maintenance"
"SYS00006,2025-02-01,07:58:15,Log_Systeme,Serveur_Application,Info,Demarrage normal du systeme,Surveillance routine,Termine,0,Automatique"
"SYS00007,2025-02-02,22:15:05,Log_Systeme,Authentification,Warning,Echecs multiples authentification utilisateur 'admin',Blocage temporaire compte,Termine,0,Automatique"
"INC00005,2025-02-03,08:05:12,Incident,Authentification,Eleve,Suspicion tentative intrusion,Reinitialisation mdp admin et audit securite,Resolu,180,Equipe_Securite"
"NET00004,2025-02-10,16:22:37,Log_Reseau,Switch_Secondaire,Error,Port 8 defaillant,Desactivation automatique du port,Termine,0,Automatique"
"MAINT003,2025-02-11,09:00:00,Maintenance,Infrastructure_Reseau,Normal,Remplacement switch defectueux,Installation reussie - trafic normal retabli,Complete,60,Julie_Moreau"
"SYS00008,2025-02-15,11:05:28,Log_Systeme,API_Externe,Warning,Latence reponse API paiement > 2s,Notification envoyee au prestataire,Termine,0,Automatique"
"INC00006,2025-02-15,15:45:33,Incident,API_Externe,Moyen,Service paiement degrade,Communication avec prestataire - probleme externe,Resolu,150,Mohammed_Hassan"
